stationId,date,hour,pm25,pm10,no2
CD1,20180505,00,,27.3,87.2
CD1,20180505,01,,23.7,75.4
CD1,20180505,02,,30.9,73.6
CD1,20180505,03,,32,73.9
CD1,20180505,04,,34.4,79.5
CD1,20180505,05,,41.5,85
CD1,20180505,06,,35.9,79.4
CD1,20180505,07,,31.4,78.5
CD1,20180505,08,,34,103
CD1,20180505,09,,26.7,90
CD1,20180505,10,,28.5,87.1
CD1,20180505,11,,25.7,136.9
CD1,20180505,12,,24.3,114.9
CD1,20180505,13,,22.5,126.9
CD1,20180505,14,,26.9,97.5
CD1,20180505,15,,29,85.8
CD1,20180505,16,,34.6,86.7
CD1,20180505,17,,35.3,83.3
CD1,20180505,18,,31.7,73.1
CD1,20180505,19,,37.5,99.1
CD1,20180505,20,,39.5,83.1
CD1,20180505,21,,42.6,77.6
CD1,20180505,22,,38,61.3
CD1,20180505,23,,38.9,70.3
CD1,20180506,00,,36.5,64.1
CD1,20180506,01,,33.2,39.7
CD1,20180506,02,,31.5,29.7
CD1,20180506,03,,30.7,21.2
CD1,20180506,04,,30.4,26.9
CD1,20180506,05,,36.3,45.9
CD1,20180506,06,,30.7,38.1
CD1,20180506,07,,33.8,45.8
CD1,20180506,08,,33.9,50.6
CD1,20180506,09,,39.2,59
CD1,20180506,10,,36.5,57.2
CD1,20180506,11,,33,63
CD1,20180506,12,,39.6,66.6
CD1,20180506,13,,34.8,75.6
CD1,20180506,14,,36.4,88.7
CD1,20180506,15,,,
BL0,20180505,00,,,76.3
BL0,20180505,01,,,82.6
BL0,20180505,02,,,76.1
BL0,20180505,03,,,77.8
BL0,20180505,04,,,75.9
BL0,20180505,05,,,74.2
BL0,20180505,06,,,67.1
BL0,20180505,07,13.3,20.8,59.7
BL0,20180505,08,8.8,20.3,52.8
BL0,20180505,09,13,24.7,39.4
BL0,20180505,10,10.3,21.3,33.1
BL0,20180505,11,14.3,23.5,31
BL0,20180505,12,11.3,26,29.6
BL0,20180505,13,15.4,25.9,29.3
BL0,20180505,14,13.8,22.6,28.5
BL0,20180505,15,14.3,23.7,31.6
BL0,20180505,16,21.7,32.8,32.7
BL0,20180505,17,16.6,28.4,43
BL0,20180505,18,20.1,34.2,48
BL0,20180505,19,20,31.5,59.5
BL0,20180505,20,25.8,33,49.2
BL0,20180505,21,25.7,35.6,59.1
BL0,20180505,22,24.7,34.9,58.7
BL0,20180505,23,19.7,28.4,56.8
BL0,20180506,00,22.6,32.7,52
BL0,20180506,01,20.6,30.6,36.3
BL0,20180506,02,22.3,32.8,39
BL0,20180506,03,26.3,35,33.1
BL0,20180506,04,25.8,33.1,25.8
BL0,20180506,05,22.1,31.7,26.6
BL0,20180506,06,24.3,33,37.5
BL0,20180506,07,27.4,35.4,39.4
BL0,20180506,08,23.9,33.1,44.2
BL0,20180506,09,23.4,37.5,38.6
BL0,20180506,10,21.3,31.3,37.7
BL0,20180506,11,21.2,26.2,25.2
BL0,20180506,12,21.2,30.9,26.2
BL0,20180506,13,20.3,28.9,22.8
BL0,20180506,14,,30.8,20.7
BL0,20180506,15,,,
GR4,20180505,00,11.9,17,39.6
GR4,20180505,01,14.2,19.6,41.1
GR4,20180505,02,17.2,22.5,40.8
GR4,20180505,03,15.8,23.8,36.4
GR4,20180505,04,13.9,27.4,40.2
GR4,20180505,05,17.4,21,43.8
GR4,20180505,06,18.1,27,50.3
GR4,20180505,07,17.4,16.8,40
GR4,20180505,08,14.9,22.9,33.7
GR4,20180505,09,14.2,20.5,23.6
GR4,20180505,10,13.8,24.5,20.2
GR4,20180505,11,12.3,20.2,11.3
GR4,20180505,12,15.4,15.4,10.2
GR4,20180505,13,8.7,18.1,8.2
GR4,20180505,14,15.3,19.3,7.3
GR4,20180505,15,,,7.8
GR4,20180505,16,13.7,25.6,8.8
GR4,20180505,17,16.7,26.4,10.8
GR4,20180505,18,21,28.9,12.8
GR4,20180505,19,23.9,32,17.6
GR4,20180505,20,24.5,33.3,20.9
GR4,20180505,21,24.4,35.5,24.7
GR4,20180505,22,26.6,34.8,28.3
GR4,20180505,23,30.7,37.2,36.7
GR4,20180506,00,26,35.7,27.1
GR4,20180506,01,25.6,34.8,24.6
GR4,20180506,02,27.7,32.8,40.6
GR4,20180506,03,25,32,28.8
GR4,20180506,04,28.9,33.1,39.5
GR4,20180506,05,27.1,38.8,33.5
GR4,20180506,06,31,39.7,32.8
GR4,20180506,07,27.9,40.3,27.7
GR4,20180506,08,26.2,37.9,29.7
GR4,20180506,09,22.9,36,17.4
GR4,20180506,10,21.4,33,17.3
GR4,20180506,11,17.8,24.5,12.9
GR4,20180506,12,18.3,26,11.4
GR4,20180506,13,19.1,32,14
GR4,20180506,14,22.7,25.3,13.7
GR4,20180506,15,,,
MY7,20180505,00,18.4,28.5,
MY7,20180505,01,18.7,27.6,
MY7,20180505,02,24.8,38.4,
MY7,20180505,03,21.8,34.8,
MY7,20180505,04,22.1,35.2,
MY7,20180505,05,26.1,40.2,
MY7,20180505,06,21.7,46.1,
MY7,20180505,07,16.9,30.5,
MY7,20180505,08,17.9,29.5,
MY7,20180505,09,17.6,28.3,
MY7,20180505,10,18.6,24.6,
MY7,20180505,11,14.7,27.3,
MY7,20180505,12,18.8,40.6,
MY7,20180505,13,21.3,34.1,
MY7,20180505,14,20.9,36.3,
MY7,20180505,15,20.7,33,
MY7,20180505,16,27,35.1,
MY7,20180505,17,23.4,38.3,
MY7,20180505,18,24.1,37.3,
MY7,20180505,19,25.8,41.6,
MY7,20180505,20,29.2,42.3,
MY7,20180505,21,30.9,42.8,
MY7,20180505,22,28,44.9,
MY7,20180505,23,26.1,36.7,
MY7,20180506,00,26.7,36.4,
MY7,20180506,01,27.8,44.7,
MY7,20180506,02,27.8,35.8,
MY7,20180506,03,28.7,36.6,
MY7,20180506,04,27.2,34.8,
MY7,20180506,05,25.3,33.4,
MY7,20180506,06,25.3,34,
MY7,20180506,07,28.2,35.7,
MY7,20180506,08,26,43,
MY7,20180506,09,26.6,34.5,
MY7,20180506,10,,,
MY7,20180506,11,,,
MY7,20180506,12,,,
MY7,20180506,13,,,
MY7,20180506,14,,,
MY7,20180506,15,,,
HV1,20180505,00,15.1,19.9,48.2
HV1,20180505,01,16.7,21.8,51
HV1,20180505,02,11.1,15.3,44.4
HV1,20180505,03,19.1,22,45.8
HV1,20180505,04,26.8,29.4,42
HV1,20180505,05,15.8,18.7,30.6
HV1,20180505,06,13.8,17.8,38.7
HV1,20180505,07,7.7,11.6,30.4
HV1,20180505,08,9.8,17.2,35.7
HV1,20180505,09,10.6,15.8,19.4
HV1,20180505,10,6.5,11.7,16.3
HV1,20180505,11,14.9,21.2,26.4
HV1,20180505,12,16.1,22.3,19.9
HV1,20180505,13,14.1,19.4,20.4
HV1,20180505,14,17.1,22.9,19.1
HV1,20180505,15,15.7,22.8,23.2
HV1,20180505,16,16,22.4,14.5
HV1,20180505,17,17.8,24.5,24.5
HV1,20180505,18,20.4,27.3,23.6
HV1,20180505,19,22.9,29.2,28.4
HV1,20180505,20,21.2,26,34
HV1,20180505,21,25.9,32,42.8
HV1,20180505,22,31.6,38.6,40.9
HV1,20180505,23,27.9,33.6,38
HV1,20180506,00,21.9,27.2,56.5
HV1,20180506,01,27.8,32.4,33.9
HV1,20180506,02,30.5,33.9,31
HV1,20180506,03,29.6,34.2,45.4
HV1,20180506,04,30,36.9,48.5
HV1,20180506,05,28.1,36,47.1
HV1,20180506,06,27.5,33,39.8
HV1,20180506,07,31.7,35.4,21.3
HV1,20180506,08,21.8,28.3,17.7
HV1,20180506,09,22.1,29.7,13.8
HV1,20180506,10,18.4,24.6,13.2
HV1,20180506,11,15.3,21.5,17.2
HV1,20180506,12,15.5,21.2,17.4
HV1,20180506,13,15,21,18.9
HV1,20180506,14,11,17.2,13.3
HV1,20180506,15,,,
GN3,20180505,00,24.4,37.1,67.9
GN3,20180505,01,19.3,29.1,67.1
GN3,20180505,02,17.5,27.3,60.5
GN3,20180505,03,19.3,31.8,58.9
GN3,20180505,04,19.5,41.4,55.8
GN3,20180505,05,21.9,32,52.7
GN3,20180505,06,28.2,41.6,62.7
GN3,20180505,07,16.2,26.3,53.6
GN3,20180505,08,14.7,24.6,43.3
GN3,20180505,09,14.4,24.7,36.9
GN3,20180505,10,16.3,27.7,39.7
GN3,20180505,11,17.5,24.6,38.1
GN3,20180505,12,17.3,27.6,39.2
GN3,20180505,13,14.2,21.4,26.6
GN3,20180505,14,18.9,28,40.2
GN3,20180505,15,19.7,30.8,52.2
GN3,20180505,16,19.9,28.8,69.6
GN3,20180505,17,22.3,28.7,46.2
GN3,20180505,18,,35.6,50.4
GN3,20180505,19,28.9,39.1,55.8
GN3,20180505,20,37.5,43.3,53
GN3,20180505,21,36,40.6,57.3
GN3,20180505,22,40.9,49,67
GN3,20180505,23,35.3,42.8,64.3
GN3,20180506,00,32,41.3,60.6
GN3,20180506,01,29.4,34.9,56.8
GN3,20180506,02,32.4,41.8,53.4
GN3,20180506,03,31.2,36.3,45.3
GN3,20180506,04,31.2,38.3,63.5
GN3,20180506,05,35.2,41.3,64.1
GN3,20180506,06,34.9,45.7,39.5
GN3,20180506,07,31.6,39.5,36.2
GN3,20180506,08,34.7,44.3,38.5
GN3,20180506,09,30.6,39.2,28.1
GN3,20180506,10,24.1,32.7,27.1
GN3,20180506,11,19.9,28.2,33.6
GN3,20180506,12,21.8,31.2,32
GN3,20180506,13,23.8,30.3,33.1
GN3,20180506,14,19.8,27,21.1
GN3,20180506,15,,,
GR9,20180505,00,15.1,26.9,85.1
GR9,20180505,01,18.5,27.3,85.4
GR9,20180505,02,14.9,29,69.5
GR9,20180505,03,15.8,28.2,62.2
GR9,20180505,04,15.1,31.6,69.3
GR9,20180505,05,17.2,28.7,56.4
GR9,20180505,06,21.1,34,82.4
GR9,20180505,07,17.9,25.9,81.2
GR9,20180505,08,12.6,22.1,64.1
GR9,20180505,09,15.2,28.3,74
GR9,20180505,10,17.9,24.5,68.7
GR9,20180505,11,20.1,30.3,56.8
GR9,20180505,12,14.3,25.1,49.7
GR9,20180505,13,15.2,21.5,47.8
GR9,20180505,14,16.2,26.3,50
GR9,20180505,15,18.7,29.2,53
GR9,20180505,16,20.9,30.8,54.2
GR9,20180505,17,19.2,29.3,60.8
GR9,20180505,18,22.3,30.7,72.2
GR9,20180505,19,39.2,49.4,68.1
GR9,20180505,20,32.5,45.3,83.5
GR9,20180505,21,32.4,42.1,102.4
GR9,20180505,22,30.6,41.2,103.4
GR9,20180505,23,33.3,47.3,118.1
GR9,20180506,00,32.2,41.2,96.4
GR9,20180506,01,30.5,41.8,86.7
GR9,20180506,02,35,40.3,70.6
GR9,20180506,03,33.9,39.3,56.3
GR9,20180506,04,33.8,36.7,58.6
GR9,20180506,05,34.6,36.9,47.6
GR9,20180506,06,34.5,43,57.9
GR9,20180506,07,29.9,42.6,56.8
GR9,20180506,08,34.1,42.3,65.7
GR9,20180506,09,28,35.2,65
GR9,20180506,10,25.2,37.6,65.2
GR9,20180506,11,19.9,29.9,48.8
GR9,20180506,12,22.9,31.8,50.1
GR9,20180506,13,23.4,31,60.4
GR9,20180506,14,21.9,32.3,58.9
GR9,20180506,15,,,
LW2,20180505,00,23.9,29.7,73.5
LW2,20180505,01,25.9,36.6,63.3
LW2,20180505,02,18.5,26.7,60
LW2,20180505,03,13.7,20.7,43.3
LW2,20180505,04,11.9,19.5,43.7
LW2,20180505,05,15.6,25.2,49.6
LW2,20180505,06,31.5,44.8,97.1
LW2,20180505,07,30.3,36.8,108.8
LW2,20180505,08,19,33.9,100.2
LW2,20180505,09,17.6,29.3,85.7
LW2,20180505,10,16.5,27.1,74
LW2,20180505,11,15.7,27.4,64.5
LW2,20180505,12,17.2,22.4,62.7
LW2,20180505,13,17.8,23.5,52.3
LW2,20180505,14,16.2,21.3,59.6
LW2,20180505,15,20.9,28.1,56.4
LW2,20180505,16,21.5,32.4,51
LW2,20180505,17,21.3,29.5,53.7
LW2,20180505,18,,28.3,55
LW2,20180505,19,27.5,34.6,63.1
LW2,20180505,20,25.6,31.6,54.5
LW2,20180505,21,32.1,37.1,58.1
LW2,20180505,22,33.6,38.9,56.8
LW2,20180505,23,38.7,49,91.1
LW2,20180506,00,41.2,43.2,107.8
LW2,20180506,01,24.9,31.8,61.3
LW2,20180506,02,28.1,33.1,49.6
LW2,20180506,03,30.8,35.9,35.6
LW2,20180506,04,36.2,47.8,61.9
LW2,20180506,05,36.5,41.1,53.3
LW2,20180506,06,41.7,45.8,74.4
LW2,20180506,07,34.5,46.3,81.7
LW2,20180506,08,42.2,48.4,89.4
LW2,20180506,09,31.6,41.7,76.7
LW2,20180506,10,24.2,38,64
LW2,20180506,11,18.9,32.8,48.3
LW2,20180506,12,20.3,28.2,61.4
LW2,20180506,13,22.8,31.7,60.9
LW2,20180506,14,27.2,34.8,70.3
LW2,20180506,15,,,
GN0,20180505,00,,24.9,70.4
GN0,20180505,01,,27.6,68.2
GN0,20180505,02,,23.9,66.9
GN0,20180505,03,,23.8,73.9
GN0,20180505,04,,29,73.9
GN0,20180505,05,,34.2,74.9
GN0,20180505,06,,39.6,74.2
GN0,20180505,07,,27.2,81.2
GN0,20180505,08,,23,86.6
GN0,20180505,09,,19.3,59.1
GN0,20180505,10,,19.1,44.1
GN0,20180505,11,,20.7,34.2
GN0,20180505,12,,19.3,47.4
GN0,20180505,13,,16,38.2
GN0,20180505,14,,18.3,21.8
GN0,20180505,15,,21,25.5
GN0,20180505,16,,20.3,20.8
GN0,20180505,17,,,23.9
GN0,20180505,18,,25.8,32.5
GN0,20180505,19,,24.6,27.3
GN0,20180505,20,,34.3,37.8
GN0,20180505,21,,36.9,45.7
GN0,20180505,22,,43.1,96.2
GN0,20180505,23,,37.2,90.2
GN0,20180506,00,,33,73.9
GN0,20180506,01,,32.7,67.5
GN0,20180506,02,,31.6,62.1
GN0,20180506,03,,31.5,52.1
GN0,20180506,04,,33,53.6
GN0,20180506,05,,30.6,56.6
GN0,20180506,06,,39.7,57.4
GN0,20180506,07,,37.4,56.2
GN0,20180506,08,,36.3,56.1
GN0,20180506,09,,34.7,54.6
GN0,20180506,10,,28.3,43.2
GN0,20180506,11,,25.4,36.7
GN0,20180506,12,,22.1,27.2
